TimeStamp,Station.Number,Temperature
2000-12,27,12.13307692
2000-12,28,12.14375
2000-12,29,12.20333333
2000-12,29.5,12.26
2000-12,30,12.22785714
2000-12,31,12.26428571
2000-12,32,12.24846154
2000-12,33,12.23857143
2000-12,34,12.17375
2000-12,35,12.12333333
2000-12,36,12.0825
2000-12,649,11.03
2000-12,657,10.66833333
2001-02,2,10.08043478
2001-02,3,10.15407407
2001-02,4,10.26419355
2001-02,8,10.3790625
2001-02,9,10.39983051
2001-02,10,10.37785714
2001-02,11,10.46615385
2001-02,12,10.76578947
2001-02,13,10.84571429
2001-02,14,10.8437931
2001-02,15,10.90510638
2001-02,16,10.97
2001-02,17,11.04269231
2001-02,18,11.1013253
2001-02,20,11.09586957
2001-02,21,10.77542857
2001-02,22,10.80189189
2001-02,23,10.80184615
2001-02,24,10.72142857
2001-02,25,10.57057143
2001-02,26,10.4269697
2001-02,27,10.58387755
2001-02,28,10.57916667
2001-02,29,10.57295082
2001-02,29.5,10.56066667
2001-02,30,10.5477193
2001-02,31,10.62578947
2001-02,32,10.61115385
2001-02,33,10.66851852
2001-02,34,10.60225806
2001-02,35,10.78857143
2001-02,36,10.70266667
2001-02,649,10.02541667
2001-02,657,9.712727273
2001-03,2,16.08818182
2001-03,3,16.1
2001-03,4,16.28611111
2001-03,8,15.32857143
2001-03,9,15.20942857
2001-03,10,15.20789474
2001-03,11,15.14545455
2001-03,12,15.15111111
2001-03,13,14.937
2001-03,14,14.70538462
2001-03,15,14.55090909
2001-03,16,14.49615385
2001-03,17,14.30555556
2001-03,18,13.57840909
2001-03,20,14.31043478
2001-03,21,12.77117647
2001-03,22,12.47540541
2001-03,23,12.52827586
2001-03,24,12.435
2001-03,25,12.53235294
2001-03,26,12.46818182
2001-03,27,12.60583333
2001-03,28,12.67451613
2001-03,29,12.66166667
2001-03,29.5,12.80419355
2001-03,30,12.92566667
2001-03,31,13.02793103
2001-03,32,13.018
2001-03,33,12.99428571
2001-03,34,12.984375
2001-03,35,12.98833333
2001-03,36,13.04866667
2001-03,649,16.2675
2001-03,657,17.056
2001-04,2,16.39181818
2001-04,3,16.495
2001-04,4,16.51176471
2001-04,8,15.56
2001-04,9,15.16121212
2001-04,10,15.17058824
2001-04,11,14.96769231
2001-04,12,15.02888889
2001-04,13,14.68888889
2001-04,14,14.44538462
2001-04,15,14.35818182
2001-04,16,14.23230769
2001-04,17,13.81
2001-04,18,12.545
2001-04,20,13.58833333
2001-04,21,13.69673469
2001-04,22,13.49352941
2001-04,23,13.81302326
2001-04,24,13.88192308
2001-04,25,14.20318182
2001-04,26,14.36333333
2001-04,27,14.41969697
2001-04,28,14.45069767
2001-04,29,14.51439024
2001-04,29.5,14.53261905
2001-04,30,14.60432432
2001-04,31,14.76923077
2001-04,32,14.7925
2001-04,33,14.97305556
2001-04,34,14.8125
2001-04,35,14.93583333
2001-04,36,14.905
2001-04,649,16.59545455
2001-04,657,17.058
2001-05,2,20.73882353
2001-05,3,20.74272727
2001-05,4,20.62166667
2001-05,5,20.25090909
